date          ,    lat   ,    lon   , smajax, sminax, strike, q ,  depth ,   unc , q ,  mw  ,  unc , q , s ,   mo  , fac,  mo_auth ,  mpp  ,  mpr  ,  mrr  ,  mrt  ,  mtp  ,  mtt  ,    eventid
 1900-07-29 06:59:00.00 ,  -10.000 ,  165.000 ,       ,       ,       , C ,    0.0 ,  25.0 , C , 7.58 , 0.66 , C , p ,       ,    ,          ,       ,       ,       ,       ,       ,       ,   16957713
 1900-10-09 12:28:00.00 ,   60.000 , -142.000 ,       ,       ,       , C ,    0.0 ,   3.8 , C , 7.69 , 0.68 , C , p ,       ,    ,          ,       ,       ,       ,       ,       ,       ,   16957718
 1900-10-29 09:11:00.00 ,   11.000 ,  -66.000 ,       ,       ,       , C ,    0.0 ,   2.8 , C , 7.69 , 0.68 , C , p ,       ,    ,          ,       ,       ,       ,       ,       ,       ,   16957719
 1901-08-09 13:01:00.00 ,  -22.000 ,  170.000 ,       ,       ,       , C ,    0.0 ,  11.1 , C , 7.92 , 0.71 , C , p ,       ,    ,          ,       ,       ,       ,       ,       ,       ,   16957737
 1901-08-09 18:33:00.00 ,   40.000 ,  144.000 ,       ,       ,       , C ,    0.0 ,   6.1 , C , 7.47 , 0.65 , C , p ,       ,    ,          ,       ,       ,       ,       ,       ,       ,   16957736
 1902-04-19 02:23:00.00 ,   14.000 ,  -91.000 ,       ,       ,       , C ,    0.0 ,  23.5 , C , 7.47 , 0.65 , C , p ,       ,    ,          ,       ,       ,       ,       ,       ,       ,   16957763
 1902-08-22 03:00:00.00 ,   40.000 ,   77.000 ,       ,       ,       , C ,    0.0 ,  13.6 , C , 7.69 , 0.68 , C , p ,       ,    ,          ,       ,       ,       ,       ,       ,       ,   16957769
 1902-09-22 01:46:00.00 ,   18.000 ,  146.000 ,       ,       ,       , C ,    0.0 ,  43.6 , C , 7.47 , 0.65 , C , p ,       ,    ,          ,       ,       ,       ,       ,       ,       ,   16957777
 1902-09-23 20:18:00.00 ,   16.000 ,  -93.000 ,       ,       ,       , C ,    0.0 ,  20.2 , C , 7.81 , 0.69 , C , p ,       ,    ,          ,       ,       ,       ,       ,       ,       ,   16957778
